codigo_ocorrencia2;aeronave_matricula;aeronave_tipo_equipamento;aeronave_fabricante;aeronave_modelo;aeronave_tipo_icao;aeronave_motor_tipo;anv_motor_qtd;anv_motor_descricao_qtd;aeronave_pmd;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_pais_registro;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
88522;PRPMM;HELICÓPTERO;AGUSTA;AW119MKII;A119;TURBOEIXO;1;MONOMOTOR;2850;8;2009;BRASIL;BRASIL;FORA DE AERODROMO;HERCÍLIO LUZ;ESTACIONAMENTO;POLICIAL;LEVE;0
88520;PSLBE;AVIÃO;AIRBUS;A321-271NX;A21N;JATO;2;BIMOTOR;89000;234;2023;BRASIL;BRASIL;SENADOR PETRÔNIO PORTELLA;GOVERNADOR ANDRÉ FRANCO MONTORO;DECOLAGEM;REGULAR;LEVE;0
88519;PRAUK;AVIÃO;EMBRAER;ERJ 190-200 IGW;***;JATO;2;BIMOTOR;52290;125;0;BRASIL;BRASIL;CONGONHAS;GOVERNADOR ALUÍZIO ALVES;CRUZEIRO;REGULAR;NENHUM;0
88518;PSABC;AVIÃO;THRUSH AIRCRAFT;S2R-T34;SS2T;TURBOÉLICE;1;MONOMOTOR;4762;NULL;2020;BRASIL;BRASIL;AERÓDROMO NÃO CADASTRADO;AERÓDROMO NÃO CADASTRADO;DECOLAGEM;AGRÍCOLA;SUBSTANCIAL;0
88516;PTSEF;AVIÃO;AIR TRACTOR;AT-502B;AT5T;TURBOÉLICE;1;MONOMOTOR;3629;NULL;2014;BRASIL;BRASIL;FORA DE AERODROMO;AERÓDROMO NÃO CADASTRADO;DECOLAGEM;AGRÍCOLA;DESTRUÍDA;1
88515;PSHEV;AVIÃO;PIPER AIRCRAFT;PA-31T1;PAY1;TURBOÉLICE;2;BIMOTOR;3946;NULL;1981;BRASIL;BRASIL;MARECHAL RONDON;NOVA BANDEIRANTES;POUSO;REGULAR;SUBSTANCIAL;0
88513;PTYUN;HELICÓPTERO;HELIBRAS;AS 350 B2;AS50;TURBOEIXO;1;MONOMOTOR;2100;6;1996;BRASIL;BRASIL;PAGADOR;CAMPO DE MARTE - SP;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
88511;PTRPM;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-712;P28A;PISTÃO;1;MONOMOTOR;1157;4;1983;BRASIL;BRASIL;ESTADUAL ARTHUR SIQUEIRA;ESTADUAL ARTHUR SIQUEIRA;POUSO;INSTRUÇÃO;LEVE;0
88510;PRZIP;AVIÃO;GUILHERME SIMÕES CRUZ;RV-10;ZZZZ;PISTÃO;1;MONOMOTOR;1224;NULL;2011;BRASIL;BRASIL;SANTO ANTÔNIO DE LEVERGER;PONTA PORÃ;POUSO;EXPERIMENTAL;NENHUM;0
88509;PTWIB;AVIÃO;CESSNA AIRCRAFT;S550;C550;JATO;2;BIMOTOR;6849;11;1987;BRASIL;BRASIL;ESTADUAL ARTHUR SIQUEIRA;Comandante Rolim Adolfo Amaro;POUSO;PRIVADA;SUBSTANCIAL;0
