ocorrencia_classificacao;ocorrencia_cidade;ocorrencia_uf;ocorrencia_pais;ocorrencia_aerodromo;ocorrencia_dia;ocorrencia_hora;investigacao_aeronave_liberada;investigacao_status;divulgacao_relatorio_publicado;total_aeronaves_envolvidas;ocorrencia_saida_pista;aeronave_matricula;aeronave_tipo_equipamento;aeronave_fabricante;aeronave_modelo;aeronave_motor_tipo;anv_motor_qtd;anv_motor_descricao_qtd;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
INCIDENTE;JUAZEIRO DO NORTE;CE;BRASIL;FAER;11/05/2025;04:20:00;SIM;FINALIZADA;NÃO;1;NÃO;PRPMM;HELICÓPTERO;AGUSTA;AW119MKII;TURBOEIXO;1;MONOMOTOR;8;2009;BRASIL;FORA DE AERODROMO;HERCÍLIO LUZ;ESTACIONAMENTO;POLICIAL;LEVE;0
INCIDENTE;UBERLÂNDIA;MG;BRASIL;SBUL;08/05/2025;14:00:00;SIM;FINALIZADA;NÃO;1;NÃO;PSLBE;AVIÃO;AIRBUS;A321-271NX;JATO;2;BIMOTOR;234;2023;BRASIL;SENADOR PETRÔNIO PORTELLA;GOVERNADOR ANDRÉ FRANCO MONTORO;DECOLAGEM;REGULAR;LEVE;0
INCIDENTE;GUARULHOS;SP;BRASIL;SBGR;09/05/2025;18:45:00;SIM;FINALIZADA;NÃO;1;NÃO;PRAUK;AVIÃO;EMBRAER;ERJ 190-200 IGW;JATO;2;BIMOTOR;125;0;BRASIL;CONGONHAS;GOVERNADOR ALUÍZIO ALVES;CRUZEIRO;REGULAR;NENHUM;0
INCIDENTE;SANTA MARIA;RS;BRASIL;SBSM;04/05/2025;14:45:00;SIM;FINALIZADA;NÃO;1;NÃO;PSABC;AVIÃO;THRUSH AIRCRAFT;S2R-T34;TURBOÉLICE;1;MONOMOTOR;NULL;2020;BRASIL;AERÓDROMO NÃO CADASTRADO;AERÓDROMO NÃO CADASTRADO;DECOLAGEM;AGRÍCOLA;SUBSTANCIAL;0
INCIDENTE;SÃO JOSÉ DO RIO PRETO;SP;BRASIL;SBSR;10/05/2025;10:00:00;SIM;FINALIZADA;NÃO;1;NÃO;PTSEF;AVIÃO;AIR TRACTOR;AT-502B;TURBOÉLICE;1;MONOMOTOR;NULL;2014;BRASIL;FORA DE AERODROMO;AERÓDROMO NÃO CADASTRADO;DECOLAGEM;AGRÍCOLA;DESTRUÍDA;1
INCIDENTE;BRASÍLIA;DF;BRASIL;SBBR;07/05/2025;11:15:00;SIM;FINALIZADA;NÃO;1;NÃO;PSHEV;AVIÃO;PIPER AIRCRAFT;PA-31T1;TURBOÉLICE;2;BIMOTOR;NULL;1981;BRASIL;MARECHAL RONDON;NOVA BANDEIRANTES;POUSO;REGULAR;SUBSTANCIAL;0
INCIDENTE;FORTALEZA;CE;BRASIL;FAER;19/04/2025;15:45:00;SIM;FINALIZADA;NÃO;1;NÃO;PTYUN;HELICÓPTERO;HELIBRAS;AS 350 B2;TURBOEIXO;1;MONOMOTOR;6;1996;BRASIL;PAGADOR;CAMPO DE MARTE - SP;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
INCIDENTE;GUARULHOS;SP;BRASIL;FAER;05/05/2025;16:45:00;SIM;FINALIZADA;NÃO;1;NÃO;PTRPM;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-712;PISTÃO;1;MONOMOTOR;4;1983;BRASIL;ESTADUAL ARTHUR SIQUEIRA;ESTADUAL ARTHUR SIQUEIRA;POUSO;INSTRUÇÃO;LEVE;0
INCIDENTE;MACEIÓ;AL;BRASIL;SBMO;25/04/2025;15:30:00;SIM;FINALIZADA;NÃO;1;NÃO;PRZIP;AVIÃO;GUILHERME SIMÕES CRUZ;RV-10;PISTÃO;1;MONOMOTOR;NULL;2011;BRASIL;SANTO ANTÔNIO DE LEVERGER;PONTA PORÃ;POUSO;EXPERIMENTAL;NENHUM;0
INCIDENTE;GOIÂNIA;GO;BRASIL;SBGO;04/05/2025;18:30:00;SIM;FINALIZADA;NÃO;1;NÃO;PTWIB;AVIÃO;CESSNA AIRCRAFT;S550;JATO;2;BIMOTOR;11;1987;BRASIL;ESTADUAL ARTHUR SIQUEIRA;Comandante Rolim Adolfo Amaro;POUSO;PRIVADA;SUBSTANCIAL;0
INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBJR;18/04/2025;16:00:00;SIM;FINALIZADA;NÃO;1;NÃO;PSAEE;AVIÃO;EMBRAER;ERJ 190-400;JATO;2;BIMOTOR;143;2020;BRASIL;ANTONIO CARLOS JOBIM / GALEÃO;VIRACOPOS;DECOLAGEM;REGULAR;LEVE;0
INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;FAER;05/05/2025;23:45:00;SIM;FINALIZADA;NÃO;1;NÃO;PPGGF;AVIÃO;AERO BOERO;AB-115;PISTÃO;1;MONOMOTOR;2;1992;BRASIL;DOURADOS;DOURADOS;APROXIMAÇÃO FINAL;INSTRUÇÃO;NENHUM;0
