codigo_ocorrencia4;recomendacao_numero;recomendacao_dia_assinatura;recomendacao_dia_encaminhamento;recomendacao_dia_feedback;recomendacao_conteudo;recomendacao_status;recomendacao_destinatario_sigla;recomendacao_destinatario
87306;A-092/CENIPA/2025 - 01;2025-07-23;2025-07-23;NULL;Adotar ações de fiscalização objetivando certificar-se do cumprimento dos requisitosestabelecidos na seção 154.401 do RBAC 154, notadamente o que se refere aos auxíliosvisuais para indicar áreas de uso restrito e à remoção de todas as sinalizações normais daspistas que estejam permanentemente interditadas, a fim de evitar a exposição de aeronaves a situações de risco.;NÃO ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
87306;A-092/CENIPA/2025 - 02;2025-07-23;2025-07-23;NULL;Atuar junto à Superintendência do Patrimônio da União do Estado da Bahia (SPU/BA) no sentido de assegurar que os requisitos atinentes a auxílios visuais para indicar áreas de uso restrito da pista de pouso e decolagem do Aeródromo Pedro Otacílio Figueiredo, excluída do cadastro, estão em consonância com o estabelecido na Seção 154.401 do RBAC 154.;NÃO ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
86514;IG-029/CENIPA/2025 - 01;2025-07-31;2025-08-13;2025-12-23;Avaliar a adequabilidade de inserir na CIRCEA 100-57 orientações claras sobre as responsabilidades remanescentes dos ATCO após a desativação formal de funções, em especial a de Supervisor, a fim de evitar ambiguidades, assegurar a continuidade da vigilância e manter a consciência situacional no ambiente operacional, especialmente em situações críticas.;ADOTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
86514;IG-029/CENIPA/2025 - 02;2025-07-31;2025-08-13;2025-12-23;Atuar junto ao CRCEA-SE, a fim de que sejam reavaliados seus processos de monitoramento e medição do desempenho da segurança operacional, buscando a melhoria continua do seu SMS.;ADOTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
86514;IG-029/CENIPA/2025 - 03;2025-07-31;2025-08-13;2025-12-23;Analisar a pertinência de incluir o conceito de hot spot na ICA 81-4, com orientações clarassobre sua aplicação nos procedimentos de varredura visual e de coordenação de pista, afim de elevar a consciência situacional com relação aos riscos envolvidos nas operaçõesconduzidas nesses locais.;ADOTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
86514;IG-029/CENIPA/2025 - 04;2025-07-31;2025-08-13;2025-12-23;Atuar junto ao CRCEA-SE, a fim de que sejam realizadas avaliações periódicas da cultura organizacional, com foco na promoção da cultura justa, a fim de garantir que os operador esse sintam seguros para reportar erros, reduzindo barreiras à ação corretiva imediata.;ADOTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
86514;IG-029/CENIPA/2025 - 05;2025-07-31;2025-08-13;2025-12-23;Avaliar, em coordenação com a ANAC, a viabilidade de implantar, nos aeródromos classeIII e IV, o princípio “Uma Pista, Uma Frequência”, realizando todas as comunicações comveículos e aeronaves que operam na mesma pista por uma única frequência,preferencialmente VHF, conforme recomendado no Doc 9870 da ICAO.;ADOTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
86514;IG-029/CENIPA/2025 - 06;2025-07-31;2025-08-13;2025-12-23;Avaliar a possibilidade da implementação do conceito de “Sala de Controle Estéril”, com restrição total ao uso de dispositivos móveis e à realização de conversas não operacionais,conforme boas práticas internacionais.;ADOTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
86514;IG-029/CENIPA/2025 - 07;2025-07-31;2025-08-13;2025-12-23;Atuar junto ao DTCEA-GL, em coordenação com a RIOgaleão, a fim de garantir a ausênciade obstáculos, naturais ou artificiais, que possam causar quaisquer restrições devisibilidade, limitando a supervisão efetiva das taxiways e das pistas de pouso e decolagemdo aeródromo.;ADOTADA DE FORMA ALTERNATIVA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
86514;IG-029/CENIPA/2025 - 08;2025-07-31;2025-08-13;2025-12-23;Divulgar os ensinamentos colhidos nesta investigação aos provedores de serviços de navegação aérea, a fim de elevar a consciência situacional, enfatizando o uso obrigatório de audiofones, a adequação ergonômica das estações de trabalho e a importância da varredura visual da pista e da vigilância constante sobre todas as operações andamento.;ADOTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
86514;IG-029/CENIPA/2025 - 09;2025-07-31;2025-08-08;2025-12-26;Avaliar, em coordenação com o DECEA, a viabilidade de implantar nos aeródromos classe III e IV, o princípio “Uma Pista, Uma Frequência”, realizando todas as comunicações com veículos e aeronaves que operam na mesma pista por uma única frequência,preferencialmente VHF, conforme preconizado no Doc 9870 da ICAO.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
86514;IG-029/CENIPA/2025 - 10;2025-07-31;2025-08-08;2025-12-26;Atuar junto à RIOgaleão, em coordenação com o DTCEA-GL, a fim de garantir a ausência de obstáculos, naturais ou artificiais, que possam causar quaisquer restrições de visibilidade, comprometendo a supervisão efetiva das taxiways e das pistas de pouso e decolagem do aeródromo.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
86514;IG-029/CENIPA/2025 - 11;2025-07-31;2025-08-08;2025-12-26;Divulgar os ensinamentos colhidos nesta investigação aos operadores de aeródromosclasses III e IV, a fim de que os riscos levantados neste relatório sejam divulgados noseventos internos de promoção da segurança operacional.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
85480;IG-123/CENIPA/2024 - 01;2025-07-24;2025-07-29;2025-12-05;Reavaliar seus processos de fiscalização da atividade aeroportuária e desenvolver protocolos específicos mais rigorosos de acompanhamento, controle e fiscalização dos aeródromos, especialmente durante a realização de obras e serviços nas pistas de pouso e decolagem, objetivando criar mecanismos internos que permitam mitigar os riscos decorrentes dessas atividades.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
85480;IG-123/CENIPA/2024 - 02;2025-07-24;2025-07-29;2025-12-05;Atuar junto à administração do Aeródromo Afonso Pena (SBCT), Curitiba, PR, de modo a garantir que os preceitos estabelecidos pelos regulamentos de aviação civil sejam observados em caráter permanente pelo operador do aeródromo.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
85480;IG-123/CENIPA/2024 - 03;2025-07-24;2025-07-29;2025-12-05;Atuar junto à administração do Aeródromo Afonso Pena (SBCT), Curitiba, PR, de modo a garantir que o gerenciamento da segurança operacional no aeródromo seja realizado conforme as diretrizes previstas no MGSO aprovado, especialmente no que se refere à correta identificação dos perigos e à adequada avaliação, análise e mitigação dos seus riscos associados.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
85480;IG-123/CENIPA/2024 - 04;2025-07-24;2025-07-29;2025-12-05;Divulgar os ensinamentos colhidos nesta investigação aos operadores de aeródromo detentores de Certificado Operacional de Aeroporto, a fim de garantir que esses operadores utilizem as ferramentas de cálculo da gravidade dos eventos de incursão em pista RISC Calculator e o Guia para Entender a Severidade da Incursão em Pista, recomendadas pelo Manual para Prevenção de Incursão em Pista no Aeródromo, possibilitando que as ocorrências categorizadas como A e B sejam oportunamente investigadas pela Autoridade de Investigação SIPAER e que o Runway Safety Team (RST) do aeródromo seja convocado com brevidade, o que permitirá a adoção de ações corretivas tempestivas e multidisciplinares.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
85480;IG-123/CENIPA/2024 - 05;2025-07-24;2025-07-28;2026-01-26;Divulgar os ensinamentos colhidos nesta investigação aos controladores de tráfego aéreo,enfatizando a importância da varredura visual da pista e da vigilância constante sobre todas as operações de voo que se efetuem no aeródromo ou em suas vizinhanças, inclusive das aeronaves, veículos e pessoas que se encontrem na área de manobras, conforme previsto na ICA 81-4 Programa para Prevenção de Ocorrências de Incursão em Pista na Prestação dos Serviços de Tráfego Aéreo e na ICA 100-37 Serviços de Tráfego Aéreo.;ADOTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
85480;IG-123/CENIPA/2024 - 06;2025-07-24;2025-07-28;NULL;Avaliar a viabilidade de ampliar o conceito de “varredura visual da pista” para “varreduravisual da área protegida” nos documentos emitidos por esse Departamento, com o objetivode elevar o nível de consciência situacional dos controladores que ocupam a posiçãooperacional Torre de Controle quanto à movimentação de aeronaves, veículos e pessoasna área de manobras, abrangendo não apenas a pista de pouso e decolagem, mas tambéma zona de parada (stopway), toda a extensão da faixa de pista, as áreas laterais delimitadaspela distância regulamentar estabelecida pelo RBAC 154 até a posição de espera correspondente, a Área de Segurança de Fim de Pista (RESA) e, quando aplicável, a zonadesimpedida (clearway).;NÃO ADOTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
84857;A-092/CENIPA/2024 - 01;2025-04-22;2025-04-23;2025-07-01;Divulgar os ensinamentos colhidos na presente investigação durante os eventos de promoção da segurança operacional, com o propósito de alertar os pilotos e operadores das aeronaves que atuam sob as regras do RBAC 91 para a importância do adequado planejamento de voo, particularmente no tocante aos limites de peso e balanceamento, de modo a evitar a perda de controle durante a realização da corrida de decolagem.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
